school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3_avg,pass
0,1,16,1,1,1,2,2,2,2,1,1,1,2,0,0,0,0,0,1,0,1,0,4,4,4,1,1,3,0,12.0,1
0,1,15,1,0,0,2,2,2,2,1,2,1,3,0,0,1,0,0,1,0,1,1,4,5,2,1,1,3,0,15.5,1
0,1,15,1,0,1,4,3,4,2,3,1,1,2,0,0,0,0,0,1,0,1,0,4,4,1,1,1,1,0,14.5,1
0,1,15,1,0,1,4,4,1,1,2,0,1,1,0,0,1,1,0,1,0,1,0,5,4,2,1,1,5,0,13.5,1
0,1,15,1,0,1,4,4,1,3,1,1,1,2,0,0,1,1,0,0,0,1,0,5,4,2,3,4,5,0,11.5,1
0,1,15,0,0,1,4,3,4,0,0,1,1,2,0,0,1,0,1,1,0,1,1,4,5,2,1,1,5,0,15.5,1
0,1,15,1,1,1,3,3,2,2,0,1,1,2,0,0,0,0,1,0,0,1,0,5,3,2,1,1,2,0,12.0,1
0,1,15,1,1,1,4,4,4,2,1,2,1,1,0,0,1,0,0,0,0,1,1,5,4,3,2,4,5,8,11.5,1
0,1,15,1,0,1,2,2,3,3,0,0,1,1,0,1,1,0,0,1,0,1,0,5,4,1,1,1,1,0,10.5,1
0,0,16,1,1,1,2,2,2,0,0,0,2,2,1,1,0,0,1,1,0,1,0,4,3,3,2,2,5,14,10.0,1
0,0,15,1,1,1,4,3,3,3,3,0,1,2,0,1,0,0,1,1,0,1,1,4,4,4,2,4,2,0,11.0,1
0,0,16,1,1,1,4,3,4,3,0,1,3,2,0,0,1,0,1,1,0,1,0,5,4,3,1,2,1,2,15.5,1
0,1,15,1,0,1,4,2,2,2,0,1,1,4,0,0,0,0,0,1,0,1,0,3,3,3,1,1,3,0,10.0,1
0,0,15,1,0,1,1,1,2,2,1,0,1,2,0,0,1,0,1,0,0,1,0,4,3,2,2,3,4,2,11.0,1
0,0,15,1,0,1,4,2,2,2,3,1,1,3,0,0,1,0,1,1,0,1,0,5,3,3,1,3,1,4,14.5,1
0,1,16,1,0,1,4,4,3,4,2,0,1,3,0,0,1,0,1,1,0,1,1,4,4,3,1,1,4,0,16.5,1
0,0,15,1,0,0,3,3,2,1,3,0,1,4,0,1,0,0,0,1,0,0,0,4,3,3,1,1,4,10,10.5,1
0,1,15,1,1,1,4,2,4,2,0,1,1,1,0,0,0,0,0,1,0,1,0,3,5,2,1,1,3,10,18.5,1
0,0,15,1,1,0,3,4,2,2,1,1,1,2,0,1,0,0,1,1,0,1,1,5,3,2,1,1,1,0,11.0,1
0,1,16,1,1,1,2,1,0,2,0,1,1,1,1,0,0,0,1,1,0,0,1,4,4,4,3,5,5,6,12.0,1
0,0,17,1,0,1,4,4,2,4,0,1,1,1,0,1,1,0,0,1,0,0,1,4,2,1,1,1,4,0,12.5,1
0,0,18,0,0,1,1,1,0,2,0,1,3,1,3,0,1,0,1,0,0,0,0,5,2,5,1,5,4,6,10.5,1
0,1,17,1,0,1,3,3,2,2,3,0,1,2,0,0,0,0,1,0,0,1,0,4,3,4,1,4,4,4,8.0,0
0,0,17,1,0,1,2,4,3,3,3,0,1,2,0,0,1,0,1,1,0,0,0,5,4,2,2,3,5,0,17.0,1
0,0,17,1,0,1,1,1,0,3,0,1,1,2,0,0,0,0,1,1,0,1,0,5,3,3,1,1,3,0,10.5,1
0,1,16,1,0,1,2,3,2,2,1,0,2,1,0,0,0,0,0,1,0,1,0,5,3,3,1,1,3,0,13.0,1
0,1,17,1,0,1,4,4,3,4,1,1,1,1,0,0,0,0,0,1,0,1,0,5,2,3,1,2,5,4,15.0,1
0,0,16,1,0,1,4,3,1,2,1,1,1,2,0,0,1,0,1,1,0,1,0,4,3,5,1,5,2,2,15.5,1
0,0,17,0,0,1,2,1,0,3,0,1,3,2,0,0,0,0,1,1,0,0,0,2,1,1,1,1,3,2,12.0,1
0,1,17,0,0,1,2,1,2,2,0,1,1,1,0,0,0,0,0,0,0,1,0,4,4,2,2,4,5,0,12.5,1
0,0,17,1,1,1,0,2,0,0,1,0,2,3,0,0,0,0,0,1,0,1,0,3,3,3,2,3,2,0,15.0,1
0,0,18,1,1,1,2,2,2,2,1,2,1,2,0,0,0,0,1,0,0,1,1,4,3,3,1,1,2,0,6.0,0
1,1,19,0,0,1,1,1,2,2,1,2,3,1,1,0,1,0,0,1,0,1,0,4,4,4,3,3,5,4,9.0,0
1,0,18,1,0,1,3,3,3,3,0,0,1,2,0,0,1,0,0,1,0,0,1,5,3,4,1,1,5,0,9.5,0
1,0,18,1,1,1,1,1,0,3,0,0,2,3,0,0,0,0,0,1,0,1,0,5,3,2,1,1,4,0,17.0,1
1,0,17,0,0,1,1,2,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,3,2,2,1,2,3,0,12.5,1
1,0,17,1,0,1,2,2,2,0,1,1,1,3,0,0,0,0,1,1,0,0,1,3,4,3,1,1,3,8,11.5,1
1,0,18,0,1,1,4,4,2,2,3,1,2,3,0,0,0,0,0,1,0,1,0,5,4,4,1,1,1,0,18.0,1
1,1,19,0,0,1,1,1,2,3,2,1,2,1,1,0,0,0,0,1,0,0,0,4,3,2,1,3,5,0,0.0,0
